Classifier,Class,Avg_Accuracy,Min_Accuracy,Max_Accuracy,Avg_Sensitivity,Min_Sensitivity,Max_Sensitivity,Avg_Specificity,Min_Specificity,Max_Specificity
Logistic Regression,1,0.9119533527696794,0.8862973760932945,0.9358600583090378,0.7853500761035008,0.6986301369863014,0.8472222222222222,0.9459997266639333,0.937037037037037,0.959409594095941
Logistic Regression,2,0.866472303206997,0.8513119533527697,0.8862973760932945,0.6210526315789473,0.5614035087719298,0.6842105263157895,0.9153846153846155,0.8951048951048951,0.9335664335664335
Logistic Regression,3,0.933527696793003,0.9154518950437318,0.956268221574344,0.7781271837875613,0.7169811320754716,0.8301886792452831,0.9620594201169312,0.9379310344827586,0.986159169550173
Logistic Regression,4,0.9434402332361517,0.924198250728863,0.956268221574344,0.7333333333333332,0.6666666666666666,0.8205128205128205,0.9703947368421053,0.9572368421052632,0.9835526315789473
Logistic Regression,5,0.9533527696793002,0.9416909620991254,0.9650145772594753,0.8309898242368178,0.782608695652174,0.8723404255319149,0.9723769223769224,0.9562289562289562,0.9797979797979798
Logistic Regression,6,0.945189504373178,0.9387755102040817,0.9533527696793003,0.7235294117647059,0.6764705882352942,0.7941176470588235,0.96957928802589,0.9644012944983819,0.9741100323624595
Logistic Regression,7,0.9667638483965014,0.9591836734693877,0.9737609329446064,0.8634146341463416,0.7804878048780488,0.926829268292683,0.980794701986755,0.9701986754966887,0.9900662251655629
SVM (RBF Kernel),1,0.938192419825073,0.9212827988338192,0.9504373177842566,0.9257990867579909,0.8767123287671232,0.9583333333333334,0.9415853491868251,0.922509225092251,0.9592592592592593
SVM (RBF Kernel),2,0.9113702623906705,0.8979591836734694,0.9154518950437318,0.743859649122807,0.6842105263157895,0.7894736842105263,0.9447552447552449,0.9335664335664335,0.958041958041958
SVM (RBF Kernel),3,0.9591836734693878,0.9504373177842566,0.9708454810495627,0.8271837875611461,0.7962962962962963,0.8867924528301887,0.9834435031619139,0.9758620689655172,0.9930795847750865
SVM (RBF Kernel),4,0.9626822157434403,0.9504373177842566,0.9825072886297376,0.8153846153846154,0.717948717948718,0.9230769230769231,0.9815789473684211,0.9736842105263158,0.9901315789473685
SVM (RBF Kernel),5,0.9708454810495628,0.9504373177842566,0.9825072886297376,0.9048103607770583,0.8913043478260869,0.9347826086956522,0.9811425061425062,0.9595959595959596,0.9966216216216216
SVM (RBF Kernel),6,0.9603498542274054,0.9504373177842566,0.9650145772594753,0.7352941176470588,0.6764705882352942,0.7941176470588235,0.9851132686084142,0.9805825242718447,0.9935275080906149
SVM (RBF Kernel),7,0.9778425655976676,0.9708454810495627,0.9854227405247813,0.878048780487805,0.8048780487804879,0.926829268292683,0.9913907284768213,0.9867549668874173,0.9933774834437086
k-NN,1,0.9189504373177841,0.892128279883382,0.9475218658892128,0.9641552511415525,0.9452054794520548,0.9863013698630136,0.9068088014213476,0.8777777777777778,0.937037037037037
k-NN,2,0.9172011661807581,0.9096209912536443,0.9212827988338192,0.7473684210526315,0.7017543859649122,0.7894736842105263,0.951048951048951,0.9440559440559441,0.9615384615384616
k-NN,3,0.9376093294460641,0.9212827988338192,0.9591836734693877,0.654157931516422,0.6037735849056604,0.7735849056603774,0.989650399713638,0.9793103448275862,0.996551724137931
k-NN,4,0.9492711370262391,0.9416909620991254,0.9620991253644315,0.6358974358974359,0.5641025641025641,0.7435897435897436,0.9894736842105264,0.9835526315789473,0.993421052631579
k-NN,5,0.9440233236151604,0.924198250728863,0.9591836734693877,0.8742830712303423,0.8478260869565217,0.9148936170212766,0.9548594048594048,0.9326599326599326,0.9663299663299664
k-NN,6,0.9545189504373177,0.9300291545189504,0.9708454810495627,0.6823529411764706,0.5882352941176471,0.7941176470588235,0.9844660194174757,0.9676375404530745,0.9935275080906149
k-NN,7,0.9597667638483965,0.9416909620991254,0.9737609329446064,0.8634146341463416,0.8292682926829268,0.9024390243902439,0.9728476821192054,0.956953642384106,0.9900662251655629
Random Forest,1,0.9329446064139942,0.9212827988338192,0.9387755102040817,0.9393455098934551,0.9166666666666666,0.958904109589041,0.9312177121771217,0.922509225092251,0.9407407407407408
Random Forest,2,0.9370262390670554,0.9300291545189504,0.9504373177842566,0.7614035087719297,0.7368421052631579,0.7894736842105263,0.972027972027972,0.958041958041958,0.9895104895104895
Random Forest,3,0.956268221574344,0.9387755102040817,0.967930029154519,0.8610761705101329,0.8113207547169812,0.9056603773584906,0.9737763989977329,0.9620689655172414,0.9793103448275862
Random Forest,4,0.967930029154519,0.9504373177842566,0.9766763848396501,0.7948717948717949,0.717948717948718,0.8461538461538461,0.9901315789473685,0.9802631578947368,0.9967105263157895
Random Forest,5,0.9737609329446064,0.956268221574344,0.9883381924198251,0.9219241443108233,0.8913043478260869,0.9574468085106383,0.9818136318136318,0.9663299663299664,0.9932432432432432
Random Forest,6,0.9650145772594753,0.9533527696793003,0.9708454810495627,0.7411764705882353,0.7058823529411765,0.7941176470588235,0.9896440129449837,0.9805825242718447,0.9967637540453075
Random Forest,7,0.9848396501457726,0.9766763848396501,0.9883381924198251,0.9365853658536585,0.926829268292683,0.9512195121951219,0.9913907284768211,0.9834437086092715,0.9966887417218543
Gradient Boosting,1,0.9306122448979591,0.924198250728863,0.9387755102040817,0.9173896499238964,0.9027777777777778,0.9444444444444444,0.934172475058084,0.9259259259259259,0.9444444444444444
Gradient Boosting,2,0.9224489795918366,0.9096209912536443,0.9329446064139941,0.7684210526315789,0.7543859649122807,0.7894736842105263,0.9531468531468532,0.9370629370629371,0.9685314685314685
Gradient Boosting,3,0.9603498542274052,0.9533527696793003,0.967930029154519,0.8573025856044725,0.8148148148148148,0.8867924528301887,0.979300799427276,0.9689655172413794,0.986159169550173
Gradient Boosting,4,0.9609329446064141,0.9504373177842566,0.9766763848396501,0.7487179487179487,0.6666666666666666,0.8974358974358975,0.9881578947368421,0.9835526315789473,0.9967105263157895
Gradient Boosting,5,0.9725947521865891,0.9650145772594753,0.9854227405247813,0.9133209990749306,0.8478260869565217,0.9361702127659575,0.9818136318136318,0.9764309764309764,0.9932432432432432
Gradient Boosting,6,0.9655976676384841,0.9591836734693877,0.9708454810495627,0.7411764705882353,0.7352941176470589,0.7647058823529411,0.9902912621359222,0.9838187702265372,0.9967637540453075
Gradient Boosting,7,0.9854227405247814,0.9795918367346939,0.9912536443148688,0.9414634146341463,0.926829268292683,0.975609756097561,0.9913907284768211,0.9867549668874173,1.0
RDA (QDA+reg),1,0.8553935860058308,0.8367346938775511,0.8688046647230321,0.9670852359208524,0.9315068493150684,1.0,0.825463987973213,0.7970479704797048,0.8481481481481481
RDA (QDA+reg),2,0.9014577259475219,0.8658892128279884,0.9125364431486881,0.6701754385964912,0.5964912280701754,0.7192982456140351,0.9475524475524475,0.9195804195804196,0.958041958041958
RDA (QDA+reg),3,0.9568513119533527,0.9416909620991254,0.9650145772594753,0.8234800838574422,0.7777777777777778,0.8867924528301887,0.981360219544207,0.972318339100346,0.9862068965517241
RDA (QDA+reg),4,0.9562682215743441,0.9533527696793003,0.9620991253644315,0.6512820512820513,0.6153846153846154,0.6923076923076923,0.9953947368421053,0.993421052631579,1.0
RDA (QDA+reg),5,0.9457725947521866,0.9329446064139941,0.956268221574344,0.631822386679001,0.5869565217391305,0.6808510638297872,0.9946127946127945,0.9865319865319865,1.0
