id,True,Predicted,Confidence,TrueLabelProb,LowConfidence,SetPrediction,PossibleMislabel
1,1,2,0.6831912808748785,0.2286529474155863,False,False,False
2,7,7,0.9972811669748332,0.9972811669748332,False,False,False
5,1,1,0.9958033052766655,0.9958033052766655,False,False,False
9,1,1,0.9989647391041262,0.9989647391041262,False,False,False
13,7,7,0.9779357158142,0.9779357158142,False,False,False
23,2,2,0.8872969206153692,0.8872969206153692,False,False,False
24,3,3,0.9911770560663674,0.9911770560663674,False,False,False
30,7,7,0.9571249755906103,0.9571249755906103,False,False,False
31,1,1,0.728000031829605,0.728000031829605,False,False,False
34,5,5,0.9507125016570916,0.9507125016570916,False,False,False
40,5,5,0.9662348263476656,0.9662348263476656,False,False,False
43,1,2,0.9865158931813144,0.01335625723445821,False,False,True
46,3,3,0.999995105149013,0.999995105149013,False,False,False
61,3,3,0.9995153651622878,0.9995153651622878,False,False,False
69,5,5,0.9975605228219181,0.9975605228219181,False,False,False
71,7,7,0.9995644226285473,0.9995644226285473,False,False,False
73,7,7,0.8055966593007556,0.8055966593007556,False,False,False
76,1,3,0.4855673795559413,0.20927408078337725,True,True,False
84,3,3,0.9999993210626703,0.9999993210626703,False,False,False
90,1,1,0.6737117690884051,0.6737117690884051,False,False,False
108,6,6,0.7051290495874021,0.7051290495874021,False,False,False
111,7,7,0.999947247356282,0.999947247356282,False,False,False
112,3,3,0.9999993552120569,0.9999993552120569,False,False,False
113,6,6,0.9994476726392628,0.9994476726392628,False,False,False
118,1,3,0.5655855706653995,0.11553336581542312,False,False,True
121,2,7,0.9395760048822245,0.05179085257982264,False,False,True
123,1,2,0.6897041171868794,0.309906863042016,False,False,False
134,3,5,0.9163721360763304,0.07583082224941108,False,False,True
141,4,4,0.8995778668951423,0.8995778668951423,False,False,False
144,2,4,0.7442027259214613,0.2410744366077226,False,False,False
146,1,1,0.9960493880669369,0.9960493880669369,False,False,False
155,7,7,0.9944962274623291,0.9944962274623291,False,False,False
164,1,1,0.9001557104211901,0.9001557104211901,False,False,False
176,4,1,0.9316167627046392,0.0005635391886972671,False,False,True
185,4,4,0.5978688473687005,0.5978688473687005,False,False,False
187,1,1,0.9990791393984817,0.9990791393984817,False,False,False
189,2,2,0.5441115922322117,0.5441115922322117,False,False,False
198,3,3,0.804705246058592,0.804705246058592,False,False,False
201,5,5,0.991664919104474,0.991664919104474,False,False,False
204,6,6,0.9704076866308814,0.9704076866308814,False,False,False
205,5,5,0.9958743563969896,0.9958743563969896,False,False,False
214,2,2,0.9971878746009503,0.9971878746009503,False,False,False
220,1,1,0.8084329804670014,0.8084329804670014,False,False,False
228,3,6,0.642745691454208,0.3520517891261381,False,False,False
229,1,6,0.5782475534957496,0.204558440370359,False,False,False
231,5,5,0.9994651956050895,0.9994651956050895,False,False,False
236,3,2,0.5009095709890661,0.23214650095504605,False,False,False
245,5,5,0.9992765031818175,0.9992765031818175,False,False,False
246,1,3,0.630981111380047,0.02000536404023185,False,False,True
247,6,2,0.723342661225245,0.26491853759770806,False,False,False
249,2,3,0.773274308562543,0.21872445851089165,False,False,False
251,5,5,0.999365438189628,0.999365438189628,False,False,False
254,6,6,0.8946349484723702,0.8946349484723702,False,False,False
265,4,4,0.9596403300623756,0.9596403300623756,False,False,False
268,2,2,0.84356595819046,0.84356595819046,False,False,False
269,3,3,0.9999223221667047,0.9999223221667047,False,False,False
275,1,1,0.9320853369698826,0.9320853369698826,False,False,False
278,7,7,0.9815238889700428,0.9815238889700428,False,False,False
283,4,2,0.4230347704081836,0.26310680126560465,True,True,False
290,7,7,0.9999622959980662,0.9999622959980662,False,False,False
293,6,6,0.9989512891847981,0.9989512891847981,False,False,False
304,7,2,0.7423661137363737,0.2574711918297852,False,False,False
312,7,7,0.999420413813652,0.999420413813652,False,False,False
313,3,3,0.9997563059125129,0.9997563059125129,False,False,False
314,6,4,0.7979178972407939,0.0089421244766525,False,False,True
317,2,2,0.7042429959906185,0.7042429959906185,False,False,False
320,1,1,0.6754082674700452,0.6754082674700452,False,False,False
325,6,6,0.9725038883712839,0.9725038883712839,False,False,False
328,2,2,0.8891385948295992,0.8891385948295992,False,False,False
331,3,3,0.8979361151201443,0.8979361151201443,False,False,False
333,3,7,0.38371507340269306,0.07939446917586222,True,True,True
342,7,7,0.9844837206499627,0.9844837206499627,False,False,False
354,7,2,0.7193672537343921,0.015731423091950088,False,False,True
360,6,6,0.9941607885197925,0.9941607885197925,False,False,False
369,3,3,0.9998648850694601,0.9998648850694601,False,False,False
370,7,7,0.9993608191507659,0.9993608191507659,False,False,False
383,1,1,0.6079693561184055,0.6079693561184055,False,False,False
388,5,5,0.9930970726086644,0.9930970726086644,False,False,False
399,1,5,0.44512620278332765,0.3868842711040341,True,True,False
403,1,7,0.9682481138231414,0.00013169684282700466,False,False,True
404,7,7,0.9997611736576398,0.9997611736576398,False,False,False
405,4,2,0.9635700594227256,0.00520837220661548,False,False,True
409,2,1,0.9998189757129912,2.887375062393347e-05,False,False,True
413,5,5,0.5649061961760188,0.5649061961760188,False,False,False
424,6,1,0.9644317668803941,0.03331481849933894,False,False,True
430,6,6,0.9999579612276581,0.9999579612276581,False,False,False
434,2,2,0.8131274411706253,0.8131274411706253,False,False,False
440,3,3,0.9991070688625827,0.9991070688625827,False,False,False
452,1,1,0.9998059895066723,0.9998059895066723,False,False,False
453,2,7,0.6014349369089605,0.010519864786565171,False,False,True
454,2,7,0.5514992637198867,0.4470816425822825,False,False,False
455,7,7,0.999975605816032,0.999975605816032,False,False,False
456,5,5,0.932100941345452,0.932100941345452,False,False,False
459,5,5,0.9995960442931396,0.9995960442931396,False,False,False
468,4,4,0.9946413778703163,0.9946413778703163,False,False,False
470,1,2,0.9861324198450818,0.012829127991487617,False,False,True
473,1,1,0.5481494911963076,0.5481494911963076,False,False,False
477,5,5,0.843703733394788,0.843703733394788,False,False,False
493,5,5,0.9952025806340473,0.9952025806340473,False,False,False
496,2,2,0.596838366368761,0.596838366368761,False,False,False
