NoiseSTD,Classifier,Accuracy,Sensitivity
0.0,Logistic Regression,0.7597667638483965,0.761717644292221
0.0,SVM (RBF Kernel),0.8402332361516034,0.8327713210341026
0.0,k-NN,0.7912536443148687,0.7752233833300185
0.0,Random Forest,0.8588921282798833,0.85091185211429
0.0,RDA (QDA+reg),0.43206997084548104,0.450567659081638
0.05,Logistic Regression,0.7551020408163265,0.7578059409125404
0.05,SVM (RBF Kernel),0.8408163265306122,0.833250586043401
0.05,k-NN,0.79067055393586,0.7728080472690692
0.05,Random Forest,0.8501457725947521,0.8417396769207299
0.05,RDA (QDA+reg),0.4291545189504373,0.45009541968890954
0.1,Logistic Regression,0.7510204081632652,0.7527634263930751
0.1,SVM (RBF Kernel),0.8379008746355685,0.8304420890143313
0.1,k-NN,0.7889212827988338,0.7715525301022981
0.1,Random Forest,0.850728862973761,0.8420130274568975
0.1,RDA (QDA+reg),0.4262390670553936,0.4504233387592792
0.4,Logistic Regression,0.7166180758017492,0.7175597019370289
0.4,SVM (RBF Kernel),0.8204081632653061,0.8124346477353341
0.4,k-NN,0.7498542274052478,0.7290747749659957
0.4,Random Forest,0.8134110787172013,0.7982356242325999
0.4,RDA (QDA+reg),0.27638483965014576,0.3248811080653276
0.6,Logistic Regression,0.6763848396501457,0.6763911912224557
0.6,SVM (RBF Kernel),0.79067055393586,0.7785915875296204
0.6,k-NN,0.6909620991253644,0.6628170108294146
0.6,Random Forest,0.79533527696793,0.7776206347362326
0.6,RDA (QDA+reg),0.18250728862973759,0.23406496450597172
0.8,Logistic Regression,0.6332361516034986,0.6316841624846914
0.8,SVM (RBF Kernel),0.7568513119533528,0.7375418823690995
0.8,k-NN,0.6326530612244898,0.6006292244027687
0.8,Random Forest,0.7399416909620993,0.7118072143720688
0.8,RDA (QDA+reg),0.13994169096209913,0.19060192017386254
1.0,Logistic Regression,0.5895043731778425,0.5861834023738037
1.0,SVM (RBF Kernel),0.6950437317784257,0.6625140557160571
1.0,k-NN,0.5690962099125365,0.5336151202213892
1.0,Random Forest,0.6927113702623907,0.6610050198612228
1.0,RDA (QDA+reg),0.12128279883381925,0.16878003233813854
1.5,Logistic Regression,0.48629737609329443,0.47977473625522515
1.5,SVM (RBF Kernel),0.26472303206997083,0.19001493981633946
1.5,k-NN,0.42332361516034983,0.37996377478400273
1.5,Random Forest,0.5341107871720118,0.4844599818346409
1.5,RDA (QDA+reg),0.10670553935860058,0.15191479969098332
2.0,Logistic Regression,0.43090379008746355,0.41916265066742353
2.0,SVM (RBF Kernel),0.21166180758017492,0.14285714285714285
2.0,k-NN,0.3346938775510204,0.2903525124124248
2.0,Random Forest,0.4075801749271137,0.3465612746447929
2.0,RDA (QDA+reg),0.10145772594752187,0.1453571297186792
3.0,Logistic Regression,0.34752186588921286,0.3360110336433798
3.0,SVM (RBF Kernel),0.21166180758017492,0.14285714285714285
3.0,k-NN,0.25072886297376096,0.20775337337487626
3.0,Random Forest,0.282798833819242,0.21506681617612386
3.0,RDA (QDA+reg),0.09970845481049563,0.14305106658047834
