NoiseLevel,Class,Accuracy,Sensitivity,Specificity
0.02,1,0.8886297376093294,0.6997716894977168,0.9393494601612682
0.02,2,0.8542274052478135,0.5508771929824561,0.9146853146853147
0.02,3,0.9113702623906705,0.7105520614954577,0.9482448395179575
0.02,4,0.9201166180758017,0.6421457489878541,0.9558925413680281
0.02,5,0.938192419825073,0.7919518963922294,0.9609268359268359
0.02,6,0.9224489795918368,0.6647058823529413,0.9508090614886731
0.02,7,0.9597667638483965,0.8533565621370499,0.9741631814278214
0.05,1,0.8793002915451895,0.6776255707762557,0.933442667760011
0.05,2,0.8513119533527697,0.5614035087719298,0.909090909090909
0.05,3,0.9096209912536443,0.6916142557651991,0.9496193771626297
0.05,4,0.9189504373177841,0.611369770580297,0.9585544753785129
0.05,5,0.9411078717201166,0.7961147086031453,0.9636113386113386
0.05,6,0.9201166180758017,0.6176470588235294,0.9533980582524272
0.05,7,0.9510204081632653,0.8685830429732869,0.9622798221825658
0.1,1,0.8857142857142858,0.705365296803653,0.9341834085007517
0.1,2,0.8565597667638484,0.5578947368421052,0.9160839160839161
0.1,3,0.9107871720116618,0.7292103424178896,0.9441069084834746
0.1,4,0.919533527696793,0.5794939271255061,0.9631750513273933
0.1,5,0.9364431486880467,0.7876965772432932,0.9595641095641095
0.1,6,0.9335276967930028,0.6941176470588236,0.9598705501618122
0.1,7,0.9405247813411078,0.7994773519163763,0.9596046749072171
0.2,1,0.882798833819242,0.6832952815829528,0.9363974306409732
0.2,2,0.8513119533527697,0.5508771929824562,0.9111888111888111
0.2,3,0.9096209912536443,0.7180293501048218,0.9447894046056557
0.2,4,0.9142857142857143,0.5037851037851038,0.9670453522830635
0.2,5,0.9376093294460641,0.7832562442183163,0.9615911365911366
0.2,6,0.9241982507288629,0.6705882352941177,0.9521035598705501
0.2,7,0.9294460641399416,0.8198097794375073,0.9443819281076247
0.3,1,0.8886297376093294,0.7082952815829529,0.9371327046603799
0.3,2,0.8629737609329446,0.5789473684210525,0.9195804195804195
0.3,3,0.9113702623906705,0.7292802236198462,0.9447989500059659
0.3,4,0.9137026239067056,0.42561539340609106,0.9756068119700696
0.3,5,0.9364431486880467,0.7835337650323775,0.9602375102375103
0.3,6,0.9253644314868804,0.6764705882352942,0.9527508090614887
0.3,7,0.9201166180758017,0.8264327160828373,0.9331521673577872
0.5,1,0.8845481049562682,0.6861111111111111,0.9378543118764522
0.5,2,0.8472303206997085,0.5649122807017545,0.9034965034965033
0.5,3,0.903206997084548,0.6916841369671558,0.942033170266078
0.5,4,0.8991253644314868,0.3065326301911668,0.9749447937260122
0.5,5,0.9294460641399416,0.7356151711378354,0.9595572845572846
0.5,6,0.9166180758017493,0.6294117647058824,0.948220064724919
0.5,7,0.894460641399417,0.7876050306282865,0.9085564669563242
0.8,1,0.8874635568513118,0.6942922374429223,0.9393576602432692
0.8,2,0.8536443148688047,0.5684210526315789,0.9104895104895105
0.8,3,0.903206997084548,0.6917540181691125,0.9420451020164657
0.8,4,0.8892128279883382,0.19181818181818183,0.9789274561292899
0.8,5,0.938192419825073,0.7617021276595745,0.9656292656292657
0.8,6,0.914868804664723,0.611764705882353,0.948220064724919
0.8,7,0.8623906705539358,0.7631617969981142,0.8763008856393476
0.9,1,0.8874635568513118,0.7051750380517503,0.9364083640836409
0.9,2,0.8618075801749271,0.5824561403508772,0.9174825174825175
0.9,3,0.9067055393586007,0.7064989517819706,0.9434077079107505
0.9,4,0.8862973760932945,0.09304817227014023,0.988187392055331
0.9,5,0.9405247813411078,0.7621646623496762,0.9683342433342432
0.9,6,0.926530612244898,0.6529411764705882,0.9566343042071198
0.9,7,0.8454810495626821,0.7853254336334647,0.8537455143932536
