id,True,Predicted,Confidence,TrueLabelProb
1,1,1,0.6306547692582823,0.6306547692582823
2,7,7,0.8114861401178063,0.8114861401178063
5,1,3,0.3563156115484545,0.3389508529389039
9,1,1,0.9389971315645368,0.9389971315645368
13,7,3,0.6657348625278591,0.3307339758648715
23,2,6,0.39011714011580795,0.279584244723787
24,3,3,0.9987448565955155,0.9987448565955155
30,7,7,0.968814368239442,0.968814368239442
31,1,1,0.6518534860192103,0.6518534860192103
34,5,5,0.9234699642895206,0.9234699642895206
40,5,5,0.939592862180194,0.939592862180194
43,1,1,0.9097052061764666,0.9097052061764666
46,3,3,0.9999976804527986,0.9999976804527986
61,3,3,0.9982893599103193,0.9982893599103193
69,5,5,0.9770720657434389,0.9770720657434389
71,7,7,0.9998667180702812,0.9998667180702812
73,7,7,0.9025324459555343,0.9025324459555343
76,1,1,0.3067658435561737,0.3067658435561737
84,3,3,0.9999473334754201,0.9999473334754201
90,1,1,0.9145067511684485,0.9145067511684485
108,6,6,0.8131066873176663,0.8131066873176663
111,7,7,0.9975439255907208,0.9975439255907208
112,3,3,0.9999531257200497,0.9999531257200497
113,6,6,0.999137919383656,0.999137919383656
118,1,5,0.3902643449918494,0.25807321417605716
121,2,7,0.5369738600101565,0.04702053871746224
123,1,1,0.9628904999134719,0.9628904999134719
134,3,5,0.9121863139403431,0.019091276949009164
141,4,4,0.6409213223573469,0.6409213223573469
144,2,2,0.8107227166787815,0.8107227166787815
146,1,1,0.9997379190013819,0.9997379190013819
155,7,7,0.9996379332728623,0.9996379332728623
164,1,1,0.9986920156789376,0.9986920156789376
176,4,5,0.5825401860322853,0.07253929618665346
185,4,6,0.8661869066285938,0.07971936490543878
187,1,1,0.9998525844801316,0.9998525844801316
189,2,4,0.6903416852274789,0.23825457337122957
198,3,3,0.9959894830848137,0.9959894830848137
201,5,5,0.96393394123497,0.96393394123497
204,6,6,0.9829177237076194,0.9829177237076194
205,5,5,0.9781130753311784,0.9781130753311784
214,2,2,0.9871943168446282,0.9871943168446282
220,1,1,0.7107937700493614,0.7107937700493614
228,3,3,0.6001093196982061,0.6001093196982061
229,1,1,0.9803644991991889,0.9803644991991889
231,5,5,0.9960348632404595,0.9960348632404595
236,3,3,0.7392671435412738,0.7392671435412738
245,5,5,0.9763209548930045,0.9763209548930045
246,1,1,0.9232113042342085,0.9232113042342085
247,6,6,0.9918522599404399,0.9918522599404399
249,2,1,0.5408758407707718,0.33163756057314425
251,5,5,0.9963603319280165,0.9963603319280165
254,6,6,0.8491178570184363,0.8491178570184363
265,4,4,0.993669675318015,0.993669675318015
268,2,2,0.977240831238725,0.977240831238725
269,3,3,0.9981705658857722,0.9981705658857722
275,1,1,0.9981351658176257,0.9981351658176257
278,7,7,0.8537777116227574,0.8537777116227574
