id,True,Predicted,Confidence,TrueLabelProb
1,1,1,0.69,0.69
2,7,7,0.73,0.73
5,1,1,0.51,0.51
9,1,1,0.56,0.56
13,7,7,0.84,0.84
23,2,7,0.47,0.32
24,3,3,0.64,0.64
30,7,7,0.67,0.67
31,1,1,0.25,0.25
34,5,5,0.64,0.64
40,5,5,0.48,0.48
43,1,1,0.48,0.48
46,3,3,0.78,0.78
61,3,3,0.78,0.78
69,5,5,0.61,0.61
71,7,7,0.8,0.8
73,7,7,0.65,0.65
76,1,1,0.47,0.47
84,3,3,0.79,0.79
90,1,1,0.25,0.25
108,6,7,0.33,0.18
111,7,7,0.54,0.54
112,3,3,0.55,0.55
113,6,6,0.53,0.53
118,1,1,0.57,0.57
121,2,2,0.53,0.53
123,1,1,0.56,0.56
134,3,2,0.45,0.15
141,4,4,0.3,0.3
144,2,2,0.42,0.42
146,1,1,0.64,0.64
155,7,7,0.76,0.76
164,1,1,0.64,0.64
176,4,5,0.38,0.29
185,4,4,0.38,0.38
187,1,1,0.64,0.64
189,2,2,0.58,0.58
198,3,3,0.38,0.38
201,5,5,0.51,0.51
204,6,7,0.39,0.36
205,5,5,0.38,0.38
214,2,2,0.65,0.65
220,1,1,0.36,0.36
228,3,3,0.44,0.44
229,1,1,0.34,0.34
231,5,5,0.75,0.75
236,3,3,0.3,0.3
245,5,5,0.42,0.42
246,1,1,0.29,0.29
247,6,6,0.54,0.54
249,2,1,0.48,0.2
251,5,5,0.51,0.51
254,6,6,0.34,0.34
265,4,4,0.72,0.72
268,2,2,0.64,0.64
269,3,3,0.72,0.72
275,1,6,0.29,0.2
278,7,7,0.51,0.51
283,4,4,0.51,0.51
290,7,7,0.87,0.87
293,6,6,0.61,0.61
304,7,7,0.86,0.86
312,7,7,0.72,0.72
313,3,3,0.48,0.48
314,6,6,0.33,0.33
317,2,2,0.37,0.37
320,1,1,0.56,0.56
325,6,6,0.37,0.37
328,2,2,0.62,0.62
331,3,3,0.56,0.56
333,3,3,0.44,0.44
342,7,7,0.71,0.71
354,7,7,0.42,0.42
360,6,6,0.46,0.46
369,3,3,0.62,0.62
370,7,7,0.85,0.85
383,1,1,0.55,0.55
388,5,5,0.36,0.36
399,1,1,0.53,0.53
403,1,6,0.35,0.22
404,7,7,0.66,0.66
405,4,5,0.28,0.15
409,2,1,0.56,0.14
413,5,5,0.44,0.44
424,6,6,0.54,0.54
430,6,6,0.34,0.34
434,2,2,0.61,0.61
440,3,3,0.79,0.79
452,1,1,0.36,0.36
453,2,2,0.4,0.4
454,2,2,0.6,0.6
455,7,7,0.89,0.89
456,5,5,0.45,0.45
459,5,5,0.58,0.58
468,4,4,0.36,0.36
470,1,1,0.38,0.38
473,1,2,0.42,0.09
477,5,5,0.58,0.58
493,5,5,0.65,0.65
496,2,2,0.54,0.54
503,3,3,0.61,0.61
508,1,1,0.36,0.36
509,4,5,0.29,0.19
513,6,1,0.31,0.15
517,2,2,0.68,0.68
519,4,4,0.55,0.55
527,3,3,0.43,0.43
528,5,5,0.38,0.38
537,4,4,0.27,0.27
540,2,2,0.69,0.69
544,1,1,0.44,0.44
545,7,7,0.86,0.86
547,3,3,0.4,0.4
550,5,5,0.69,0.69
552,2,2,0.36,0.36
560,3,3,0.63,0.63
561,5,5,0.63,0.63
562,1,1,0.68,0.68
563,1,1,0.6,0.6
569,6,6,0.63,0.63
591,5,5,0.64,0.64
596,3,3,0.51,0.51
603,4,1,0.27,0.24
605,1,1,0.31,0.31
607,3,3,0.46,0.46
611,5,5,0.68,0.68
612,6,6,0.48,0.48
615,5,5,0.37,0.37
616,1,1,0.55,0.55
619,1,1,0.71,0.71
622,7,7,0.78,0.78
633,7,7,0.64,0.64
635,2,2,0.49,0.49
636,4,4,0.65,0.65
640,5,5,0.67,0.67
657,7,7,0.64,0.64
659,6,6,0.28,0.28
662,4,4,0.68,0.68
669,1,1,0.58,0.58
671,5,5,0.63,0.63
674,4,4,0.73,0.73
678,4,4,0.75,0.75
681,5,5,0.64,0.64
685,7,7,0.51,0.51
688,6,6,0.51,0.51
698,7,7,0.42,0.42
701,6,5,0.4,0.14
703,1,1,0.59,0.59
704,1,1,0.32,0.32
708,5,3,0.32,0.23
709,1,1,0.69,0.69
713,2,1,0.52,0.13
715,6,6,0.58,0.58
716,2,2,0.55,0.55
717,4,4,0.53,0.53
723,1,1,0.64,0.64
730,4,4,0.38,0.38
738,2,2,0.53,0.53
739,2,2,0.52,0.52
748,3,3,0.6,0.6
756,2,2,0.42,0.42
760,5,5,0.38,0.38
776,7,7,0.81,0.81
786,5,1,0.35,0.1
795,4,4,0.64,0.64
796,7,7,0.55,0.55
799,7,7,0.79,0.79
804,2,3,0.31,0.27
805,4,4,0.68,0.68
815,4,4,0.31,0.31
819,3,3,0.59,0.59
828,2,2,0.5,0.5
840,1,1,0.35,0.35
847,1,1,0.54,0.54
850,3,3,0.37,0.37
859,2,2,0.5,0.5
865,5,3,0.26,0.15
879,4,4,0.38,0.38
894,4,4,0.73,0.73
897,4,6,0.26,0.18
905,2,2,0.47,0.47
906,5,5,0.54,0.54
917,1,1,0.75,0.75
923,3,3,0.62,0.62
932,7,7,0.58,0.58
934,6,5,0.34,0.2
937,3,3,0.75,0.75
938,4,4,0.74,0.74
950,6,6,0.45,0.45
952,5,5,0.74,0.74
956,4,5,0.32,0.2
964,4,4,0.72,0.72
965,1,1,0.45,0.45
980,7,7,0.52,0.52
981,3,3,0.46,0.46
984,2,2,0.38,0.38
992,4,4,0.58,0.58
995,1,1,0.27,0.27
996,2,2,0.38,0.38
1005,5,5,0.65,0.65
1008,2,2,0.32,0.32
1009,2,1,0.39,0.14
1011,1,1,0.54,0.54
1015,6,4,0.38,0.16
1017,4,4,0.51,0.51
1024,2,1,0.45,0.16
1025,1,2,0.24,0.19
1026,3,3,0.57,0.57
1031,6,6,0.71,0.71
1034,5,5,0.62,0.62
1037,3,5,0.3,0.25
1038,6,4,0.21,0.2
1040,3,6,0.4,0.09
1045,5,5,0.5,0.5
1046,1,1,0.28,0.28
1048,2,2,0.47,0.47
1049,1,1,0.63,0.63
1052,1,1,0.68,0.68
1053,4,4,0.77,0.77
1055,3,3,0.55,0.55
1059,2,2,0.6,0.6
1063,7,7,0.76,0.76
1080,2,7,0.44,0.41
1081,2,1,0.5,0.12
1106,1,1,0.61,0.61
1113,3,3,0.39,0.39
1117,3,2,0.37,0.21
1124,3,7,0.28,0.21
1125,3,3,0.35,0.35
1129,3,3,0.36,0.36
1130,3,2,0.36,0.27
1131,5,5,0.62,0.62
1137,4,4,0.66,0.66
1139,1,1,0.61,0.61
1145,7,7,0.68,0.68
1153,2,2,0.6,0.6
1156,1,1,0.55,0.55
1157,2,2,0.48,0.48
1165,5,5,0.42,0.42
1171,1,1,0.63,0.63
1172,5,5,0.74,0.74
1176,1,1,0.39,0.39
1179,3,3,0.38,0.38
1201,5,5,0.31,0.31
1205,2,2,0.67,0.67
1206,5,5,0.64,0.64
1214,3,3,0.33,0.33
1220,6,6,0.52,0.52
1227,6,6,0.48,0.48
1230,1,1,0.23,0.23
1232,1,1,0.47,0.47
1236,1,1,0.76,0.76
1242,7,7,0.89,0.89
1244,2,2,0.45,0.45
1247,7,7,0.82,0.82
1249,4,6,0.28,0.26
1254,1,1,0.49,0.49
1258,3,3,0.76,0.76
1261,2,2,0.44,0.44
1264,3,3,0.32,0.32
1269,2,1,0.56,0.13
1276,3,3,0.32,0.32
1279,2,2,0.62,0.62
1283,2,2,0.48,0.48
1284,6,6,0.67,0.67
1285,4,4,0.74,0.74
1290,6,6,0.34,0.34
1291,1,1,0.29,0.29
1302,1,1,0.57,0.57
1303,2,2,0.57,0.57
1304,7,7,0.89,0.89
1306,1,2,0.36,0.13
1307,5,5,0.72,0.72
1308,1,1,0.4,0.4
1310,3,3,0.83,0.83
1317,1,1,0.7,0.7
1320,2,5,0.42,0.16
1329,6,6,0.69,0.69
1330,2,2,0.62,0.62
1336,6,6,0.45,0.45
1339,5,5,0.56,0.56
1341,3,3,0.32,0.32
1347,6,6,0.46,0.46
1348,3,3,0.48,0.48
1357,2,1,0.37,0.15
1360,7,2,0.45,0.23
1361,3,3,0.63,0.63
1369,3,3,0.74,0.74
1370,4,4,0.66,0.66
1378,4,4,0.35,0.35
1382,2,2,0.5,0.5
1387,2,2,0.5,0.5
1392,1,1,0.34,0.34
1418,7,7,0.67,0.67
1421,1,1,0.56,0.56
1424,1,2,0.34,0.18
1427,1,1,0.66,0.66
1431,3,3,0.46,0.46
1434,4,4,0.46,0.46
1438,1,1,0.55,0.55
1444,1,3,0.51,0.16
1449,2,2,0.54,0.54
1459,1,1,0.37,0.37
1465,4,4,0.52,0.52
1484,7,7,0.85,0.85
1486,4,4,0.45,0.45
1491,2,2,0.57,0.57
1492,7,7,0.71,0.71
1500,5,1,0.26,0.24
1516,7,7,0.65,0.65
1523,1,1,0.37,0.37
1527,3,3,0.47,0.47
1531,1,1,0.34,0.34
1537,2,3,0.33,0.29
1544,3,3,0.36,0.36
1559,5,5,0.66,0.66
1560,3,3,0.33,0.33
1562,2,2,0.45,0.45
1563,2,5,0.34,0.18
1575,1,1,0.45,0.45
1576,6,6,0.41,0.41
1578,1,1,0.33,0.33
1585,6,6,0.54,0.54
1587,2,1,0.63,0.15
1604,1,1,0.55,0.55
1605,3,3,0.38,0.38
1613,5,5,0.29,0.29
1614,2,2,0.43,0.43
1628,7,7,0.6,0.6
1630,6,6,0.63,0.63
1635,4,4,0.52,0.52
1656,6,6,0.53,0.53
1662,4,4,0.56,0.56
1669,5,5,0.61,0.61
1676,3,3,0.42,0.42
1684,7,7,0.56,0.56
1695,7,7,0.57,0.57
1696,5,5,0.63,0.63
1701,1,7,0.21,0.15
1705,1,1,0.49,0.49
1708,5,5,0.43,0.43
1709,7,7,0.89,0.89
1712,5,5,0.6,0.6
4,2,1,0.28,0.11
10,2,2,0.76,0.76
12,1,1,0.59,0.59
16,3,6,0.24,0.17
17,3,3,0.72,0.72
22,1,1,0.7,0.7
26,1,2,0.22,0.21
29,4,4,0.4,0.4
32,3,3,0.34,0.34
37,5,5,0.65,0.65
45,1,1,0.58,0.58
47,2,2,0.5,0.5
52,4,4,0.55,0.55
55,5,5,0.38,0.38
58,3,4,0.27,0.19
66,3,3,0.51,0.51
68,1,1,0.5,0.5
74,3,3,0.5,0.5
77,7,6,0.42,0.22
78,2,1,0.33,0.06
81,3,3,0.47,0.47
82,3,3,0.6,0.6
93,3,5,0.25,0.12
102,7,7,0.68,0.68
106,3,3,0.4,0.4
120,1,1,0.43,0.43
122,4,4,0.48,0.48
137,5,5,0.37,0.37
138,1,1,0.59,0.59
147,2,2,0.59,0.59
152,2,2,0.4,0.4
157,4,4,0.41,0.41
159,6,6,0.37,0.37
161,6,6,0.58,0.58
171,7,7,0.69,0.69
174,3,3,0.7,0.7
180,7,7,0.24,0.24
181,7,7,0.23,0.23
182,2,3,0.37,0.31
184,4,5,0.35,0.34
188,6,6,0.56,0.56
192,4,4,0.34,0.34
193,6,6,0.71,0.71
200,1,1,0.62,0.62
203,2,1,0.51,0.13
207,4,4,0.74,0.74
209,3,3,0.68,0.68
211,1,4,0.33,0.32
215,2,2,0.44,0.44
225,3,3,0.28,0.28
230,6,6,0.48,0.48
232,4,4,0.32,0.32
238,7,7,0.63,0.63
241,2,2,0.52,0.52
242,3,3,0.46,0.46
257,5,5,0.48,0.48
258,6,6,0.56,0.56
270,6,6,0.29,0.29
271,1,1,0.77,0.77
281,1,1,0.71,0.71
282,6,6,0.66,0.66
284,7,7,0.89,0.89
291,2,2,0.43,0.43
301,3,3,0.47,0.47
306,3,2,0.3,0.25
308,2,2,0.41,0.41
310,1,5,0.24,0.17
311,5,5,0.3,0.3
327,1,1,0.62,0.62
335,1,1,0.63,0.63
341,7,7,0.51,0.51
344,1,1,0.58,0.58
346,1,1,0.69,0.69
352,2,2,0.54,0.54
358,5,5,0.57,0.57
362,6,6,0.64,0.64
366,5,5,0.73,0.73
374,1,1,0.42,0.42
375,5,5,0.28,0.28
377,1,1,0.38,0.38
386,2,6,0.39,0.28
387,3,3,0.59,0.59
394,2,2,0.45,0.45
400,5,5,0.69,0.69
407,4,1,0.38,0.16
414,1,1,0.44,0.44
416,7,7,0.71,0.71
417,7,7,0.41,0.41
418,7,7,0.39,0.39
420,3,3,0.38,0.38
425,1,1,0.72,0.72
431,5,5,0.29,0.29
433,6,3,0.33,0.12
442,7,7,0.38,0.38
447,1,1,0.49,0.49
457,5,5,0.61,0.61
460,3,3,0.44,0.44
466,1,1,0.65,0.65
469,1,6,0.3,0.25
485,1,1,0.6,0.6
491,6,1,0.29,0.25
492,2,1,0.79,0.09
511,3,3,0.52,0.52
531,7,7,0.63,0.63
532,7,7,0.88,0.88
535,6,6,0.33,0.33
541,1,1,0.65,0.65
549,1,1,0.59,0.59
